Title,Link,Abstract,AI Tutor Category,Education Setting,
"WIP: Beyond Code: Evaluating ChatGPT, Gemini, Claude, and Meta AI as AI Tutors in Computer Science and Engineering Education",https://ieeexplore.ieee.org/document/10893528/,"This Work-in-Progress research paper evaluates the validity of Large Language Models (LLMs) as conversational AI tutors for computer science learning. While current engineering education literature has predominantly emphasized the rapid evolution of LLMs as conversational AI tutors for programming languages, the exploration into their effectiveness within general STEM topics remains comparatively scarce. This WIP study thus centers on evaluating the potential of LLMs to facilitate understanding of core hardware design concepts critical to computer science and engineering (CSE) education. By cross-checking the responses from generative AI chatbots to an openended CSE-based question, we aimed to uncover how LLMs, such as ChatGPT-3.5, Claude, Gemini, and Meta AI, can contribute to teaching and learning of general CSE courses instead of a specifically coding-based one. Our method involved simulating a student query on the popular debate between CISC vs. RISC related to computer architecture and analyzing the chatbots' responses. This initial collection of data served as the foundation for a continual comparative analysis aimed at determining the inherent instructional value of each LLM and its validity and reliability. To systematically assess the responses, we introduced an evaluation framework focusing on metrics, such as response accuracy, persuasiveness, and depth of explanation. The current work anticipates not only enriching our understanding of how these advanced LLMs can support general CSE education but also identifying areas where further development is needed for a more holistic integration of LLM-based chatbots in assisting student comprehension in the overarching engineering education.",2: AI Tutor ,2: CS,Arnav
AI2SQL.io: Empowering SQL Learning and SocialChange Through IT-Enabled Smart Tutoring in Computer Science and Engineering,https://ieeexplore.ieee.org/document/10882332/,"In order to support query-based learning, this research focuses on the applications of an AI tool named AI2SQL.io in the instruction of computer science and engineering students in Structured Query Language (SQL). As the foundation for obtaining data from databases and manipulating vast volumes of data in a variety of vocations, SQL is essential to the field of data management. For computer science students, database knowledge and skills—especially SQL—are essential because they provide them with insights into the querying, altering, and analyzing of data—a crucial component of software engineering, data administration, and database management. Appropriate and effective techniques, including tutoring, which provide the student with individualised support, are particularly beneficial for learning SQL. It was noted that both situations allowed for the temporary usage of AI2SQL.io, as well as feedback to encourage selfdirected product immersion. In an effort to provide AI2SQL.io in a learning environment, this article reports on variations in student performance, practical SQL skills, and engagement levels. The article compares the efficacy of AI2SQL.io's case studies and effectiveness studies to other traditional tutoring methods, describing how the platform encouraged students to practise SQL outside of the classroom. The findings demonstrate that nearly all students made progress in both writing and composing SQL queries.",2: AI Tutor ,2: CS,Arnav
Work in Progress: Empowering Engineering Education With ChatGPT: A Dive into the Potential and Challenges of Using AI for Tutoring,https://ieeexplore.ieee.org/document/10578789/,"This research explores the integration of ChatGPT, an advanced AI language model, in engineering and computer science education. It investigates ChatGPT's effectiveness in enhancing learning outcomes, engagement, and skill development among first-year engineering students. Utilizing a mixed-method approach in an introductory programming course, the study compares the impact of ChatGPT, traditional teaching assistant support, and a combined method on student performance and perceptions. Anticipated findings aim to illuminate the benefits and challenges of AI tutoring, focusing on personalized learning experiences and ethical considerations in AI integration. This research contributes to the discourse on AI in education, highlighting its potential to transform educational practices and outcomes in engineering and computer science fields.",2: AI Tutor ,2: CS,Arnav
Analysis of Adult Learners' Usage Preferences and Requirements for Agent-Based AI Teaching Assistants,https://ieeexplore.ieee.org/document/11092169/,"With the rapid development of large language model technology, the applications of agent-based AI in various fields have received extensive attention. However, few studies have focused on the usage preferences and application requirements of adult learners regarding agent-based AI teaching assistants. In this study, direct-type and heuristic AI teaching assistant agents for the ""Basic Computer Applications"" course were developed based on the Coze platform, and applied in open education courses. The interaction data between adult learners and the AI teaching assistants are analyzed with inductive and statistical methods, and the research shows that these agents can provide students with continuous support for course knowledge anytime and anywhere. Findings indicate that adult learners primarily interact with the AI teaching assistants through WeChat, prefer direct-type AI teaching assistants for solving course test problems, and also express a need for emotional support. This study offers novel insights and recommendations for researchers and developers of AI teaching assistants for adult learners.",2: AI Tutor ,1: Other ,Arnav
AI-Driven Pedagogical Approaches in Science Classrooms: Enhancing Digital Literacy and Learning Outcomes,https://ieeexplore.ieee.org/document/10939398/,"A high quality education in science classroom is crucial to foster equitable societal progress. However significant disparities for undeserved and marginalised community. Solutions using artificial intelligence bridges the cap through enhanced teaching methodologies to promote fair access to learning in science classroom. The present study explores the AI powered pedagogical approaches in science education. It examines the AI technologies including computer vision, natural language processing and machine learning techniques utilised for personalised learning delivering feedback at real time and boost a student engagement across various background. AI driven approaches can Taylor instruction to individual paces and learning style that ensure personalised support for every student. Platforms also offer additional assistance to learners facing challenges fostering equity and inclusivity in science education. Moreover, AI driven assessment tools provide teachers with valuable insights in student performance helping them to pinpoint the areas that requires improvement and targeted interventions. It enables collaborative learning environment that allows the student to interact regardless of geographical constraints thereby expanding access to science education with enhanced digital literacy and learning outcomes.",1: Somewhat AI related,1: Other ,Arnav
Generative AI in Computer Science Education: Insights from Topic Modeling and Text Network Analysis,https://ieeexplore.ieee.org/document/10959426/,"The rapid evolution of generative artificial intelligence (AI) is reshaping educational landscapes., particularly in computer science education. This study investigates research trends in generative AI applications through text network and topic modeling analyses. A comprehensive literature review across IEEE Xplore., Scopus., and Web of Science identified 151 studies published between 2023 and 2024. Text network analysis revealed that “AI.,” “student.,” “education.,” “learning.,” and “performance” were the most frequently occurring terms., highlighting key research themes. Ego-network analysis demonstrated strong interconnectivity between educational AI tools and student learning outcomes. Using Latent Dirichlet Allocation (LDA)., four major research topics emerged: educational chatbots (35.1 %)., AI literacy (25.8%)., exam performance (21.8%)., and technology integration (17.2<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">%</sup>). Findings indicate a dominant focus on chatbots for student engagement., while ethical concerns and multimodal AI applications remain underexplored. The study underscores the necessity of addressing AI literacy gaps and enhancing interdisciplinary AI integration in educational settings. Despite its potential., generative AI adoption is hindered by privacy risks., uneven technological access., and the lack of standardized policies. Future research should focus on ethical AI frameworks., multimodal AI tools., and long-term learning outcomes. This study provides a data-driven foundation for understanding the evolving role of generative AI in education and its implications for educators., policymakers., and researchers.",1: Somewhat AI related,2: CS,Arnav
Large Language Models in Education: A Systematic Review,https://ieeexplore.ieee.org/document/10589960/,"Large Language Models (LLMs) refer to a type of generative artificial intelligence model that produces responses to natural language input. The purpose of this study is to analyze the current application status of LLMs in the field of education through a systematic review of the literature. Data were sourced from three databases: Web of Science, ERIC, and Google Scholar. The study includes 94 documents, analyzed from both qualitative and quantitative perspectives. The results show that large language models have great potential in the field of education, specifically in generating medical content, serving as an English learning assistant, assisting academic research, and evaluating the quality of tests, etc. However, there are still potential dangers such as hindering the development of critical thinking, creating academic integrity crises, and ethical and moral challenges. These findings showed the current application status of LLMs in education, laying the groundwork to inspire future research.",1: Somewhat AI related,1: Other ,Arnav
"Bibliometric Analysis in AI Assistant for e-learning to Focus Students by Using Camera, Keyboard and Mouse",https://ieeexplore.ieee.org/document/11012071/,"In recent years, artificial intelligence has been a widely researched topic, particularly in education. This study evaluates the role of AI assistants in enhancing student motivation and focus in e-Iearning by conducting a bibliometric analysis of academic publications. In our study, we analyzed the use of AI assistants in e-Iearning to help students stay focused through the use of cameras, keyboards, and mice, addressing student distraction in e-Iearning. We propose that AI assistants can support teachers in motivating students and improving their engagement. To conduct our analysis, we examined data from the last ten years (2015–2025) using the Web of Science database and bibliometric analysis tools such as VOSviewer. We focused on publications categorized under Computer Science - Artificial Intelligence, Education - Educational Research, and Computer Science - Software Engineering. A total of 676 academic publications ten years were analyzed. The highest number of publications occurred in 2024, with “Artificial Intelligence,” “ChatGPT,” and “Machine Learning” being the most frequently used keywords. The primary objective of this study was to examine previous research that applied AI in e-education, exploring its impact on students through various approaches. Based on our findings, AI assistants in e-Iearning are expected to playa crucial role not only in the present but also in the coming years. Our results indicate that AI-assisted educational technologies have rapidly evolved and are significantly improving student engagement in e-Iearning environments.",2: AI Tutor ,2: CS,Arnav
Generative Artificial Intelligence in Elementary School Science Teaching and Learning,https://ieeexplore.ieee.org/document/10867936/,"With the State attaching great importance to the cultivation of innovative talents, elementary school science education, as a key link in the cultivation of future innovative talents, has received unprecedented attention. However, elementary school science teaching still faces challenges in practice, such as insufficient teaching resources, single teaching method and difficulty in stimulating students' interest. Generative artificial intelligence, with its data generation, learning and innovation capabilities, has shown great potential in the field of education, providing new ideas to address these challenges. In this paper, we first sort out the specific challenges facing elementary school science teaching, and then explore its potential applications in elementary school science teaching. Finally, we analyze the feasibility and specific strategies for its integration into the elementary science classroom, aiming to provide new perspectives and strategies for the progress of elementary science education.",1: Somewhat AI related,1: Other ,Arnav
Review on AI Assistant Systems for Programming Language Learning in Learning Environments,https://ieeexplore.ieee.org/document/10844969/,"Artificial intelligence (AI) has made it possible to improve student engagement in the learning environment in many ways, including fusing the adaptive, individualized support of AI assistants with the motivating elements of gamification. The study examined the range of AI-powered platforms and tools that include gamification components, including AI-powered code generation aids, adaptive feedback mechanisms, and intelligent tutoring systems. These technologies meet the varied needs of students, which improves retention and comprehension, in addition to making learning more engaging and participatory. The paper also emphasizes how an AI-enabled gamified environment may facilitate group learning and help students gain a deeper comprehension of challenging programming concepts. However, it also discusses the difficulties and moral issues surrounding the application of AI in education such as loneliness, less student interaction, low motivation, etc, highlighting the necessity of cautious application and ongoing assessment. The review’s conclusions indicate that gamified learning environments with AI capabilities have great potential to transform programming education and give students a more effective, customized, and interesting learning experience.",2: AI Tutor ,2: CS,Arnav
